,QueryText,KCCAns
4862,BLIGHT ATTACK ON ONION ?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
4864,Asking about weather forecast ?,"weather is partially cloudy and No Possibility of Rainfall, Temprature Maximum 33 degree Celcius Minimum 23 degree Celcius."
4868,ATTACK OF LEAF EATING CATERPILLAR ON PIGEON PEA?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
4869,FARMER ASKED ABOUT MARKET RATE OF cotton  ?,MARKET RATE OF cotton - KINWAT	----	QUINTAL	27	5450	5500	 RS/QTL
4872,ASKING ABOUT VARIETIES OF TUR  ?,VARIETIES OF TUR = I.C.P.L. 87
4873,FARMER ASKED ABOUT MARKET RATE OF COTTON ?,"MARKET RATE OF COTTON- 4950, 5730, 5200 RS/QTL"
4877,Asking about weather forecast ?,This week -weather is cloudy and  Possibility of  light Rainfall
4878,ATTACK OF LEAF EATING CATERPILLAR PIGEON PEA ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
4882,MARKET RATE OF TURMERIC ?,MARKET RATE OF TURMERIC =6300-7300  RS/QTL
4888,Asked about Varieties of carrot?,"Varieties of carrot-pusa kesar,nantis,pusa medhali."
4891,ASKED ABOUT ATTACK OF LEAF EATING CATERPILLAR ?,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India
4896,FARMER ASKED ABOUT MARKET RATE OF soybean ?,MARKET RATE OF soybean-JALNA	PIVLA	QUINTAL	15823	2850	3175  RS/QTL
4902,asking about FRUIT DROP on cucumber  ?,FRUIT DROP on cucumber - SPRAY CALSIBOR 30 GM /15 LITERS OF WATER
4903,Asking about weather forecast?,This week partially weather is no  Possibility of Rainfall
4904,FARMER ASKED ABOUT MARKET RATE OF SOYABEAN  ?,WASHIM MARKET RATE OF  2924-3150 RS /QTL
4905,FARMER ASKED ABOUT MARKET RATE OF COTTON?,"MARKET RATE OF COTTON - 8000,	8100,	8000 RS/QTL"
4909,FARMER ASKED ABOUT MARKET RATE OF COTTON ?,"MARKET RATE OF COTTON- 	8000,	8100,	8000 RS/QTL"
4913,Asking About Market Rate cotton?,jalna Market Rate of cotton-8000 - 8100    rupees/qtl
4914,Asking About Market Rate?,Market Rate -4800 to 5600 rupees/qt.
4918,FARMER ASKED ABOUT MARKET RATE OF SOYABEAN   ?,JALANA MARKET RATE OF 2850-3175 RS  /QTL
4921,ASKED ABOUT CONTACT NO OF MUSHROOM PROJECT ?,CONTACT NO OF MUSHRROM PROJECT  +91-21 12 28 31 29
4928,FARMER ASKED ABOUT FLOWERING IN PIGEON PEA ?,Spray Boom flower 20 ml/15 liter  of Water
4929,ASKED ABOUT MARKET RATE OF COTTON ?,AVERAGE MARKET RATE OF COTTON - 5751 RS/QUINTAL
4938,FERTILIZER SPRAY ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
4941,FARMER ASKED ABOUT MARKET RATE OF RED CHILLI?,"MARKET RATE OF  RED CHILLI- 6000, 7000,	6750 RS/QTL"
4944,ASKING ABOUT CONTROLL OF WILT ATTACK  ?,Spray of Bavistine 30gm/15lit of Water.
4946,FARMER ASKED ABOUT MARKET RATE OF COTTON  ?,JALNA BADANAPUR MARKET RATE OF 8000-8100 RS  /QTL
4958,ASKED ABOUT ATTACK OF WHITE FLIES ON CHILLIE ?,Spray Ullala 8 gm/15 Lit of Water (flonicamid)-UPL
4960,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM ?,MARKET RATE OF BENGAL GRAM  - AVERAGE -3625 RS/QTL
4961,ATTACK OF SUCKING PEST ?,Spray of Confidor 10 ml /Super Confidor 10 ml /15 litar water.
4963,crop insurance?,"For any query, call us on
011-23382012
Followed by Extention no. 2715/2709
Timing :10am - 6pm, Monday - Friday"
4968,ASKED ABOUT ATTACK CATERPILLAR ON CUCUMBER?,ATTACK CATERPILLAR ON CUCUMBER: Spray Chloropyriphos 30 ml/15 Lit of Water.
4970,FARMER ASKED ABOUT MARKET RATE OF SOYABEAN ?,MARKET RATE OF SOYABEAN-AVERAGE- 2925RS/QTL
4971,ASKED ABOUT MARKET RATE OF SOYBEAN ?,MARKET RATE OF SOYBEAN =2950-3150 RS/QTL
4981,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-26 DEGREE AND MAX.- 38
4984,Asking About Market Rate Maize ?,Maize Market Rate -1700 rupees/qt.
4986,ATTACK OF WILT ON PIGEON PEA ?,DRENCHING OFF 	Redomil Gold 400 gm+humic Acid 300 ml(Mephonaxon+mancozeb)syngnt THROUGH DRIP
4987,FERTILIZER DOSE FOR TURMERIC ?,FERTILIZER DOSE FOR TURMERIC =SPRAY 19:19:19 60 GM + MICROLLA 30 ML/15 LITER WATER
4988,MARKET RATE OF COTTON ?,MARKET RATE OF COTTON = 5481-5500 RS/QTL
4994,Asking About Market Rate of soybean in KHAMGAON market?,"In KHAMGAON market -
TODAY Market Rate of soybean -Minimum- rupees/qtl and maximum -rupees/qtl"
5001,WILT ATTACK in turmeric  ?,WILT ATTACK in turmeric - SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
5005,FARMER ASKED ABOUT MARKET RATE OF ?,JAFARABAD MARKET RATE OF 3200 -3300 RS/QTL
5007,Asking about weather forecast ?,coming three days weather is CLOUDY and today LIGHT Possibility of Rainfall
5011,FERTILIZER SPRAY ON CARROT ?,SPRAY POTASSIUM NITRATE 13 00 45 60 GM /15 LITERS OF WATER
5012,ASKING ABOUT SPRAY FOR FOR FLOWERING 	?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE
5013,asked about krishi vidgyan kendra contact number ?,"krishi vigyan kendra
at-pokharni, post-limbgoan, purna road, dist- nanded
pin code- 431735 (m.s.)
telephone no:-8975899504."
5015,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 0:52:34 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
5018,.Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK.
5021,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK. TEMP -MIN.-21 DEGREE AND MAX.- 34 DEGREE
5026,ASKING ABOUT GOVERNMENT SCHEME  ?,"INFORMATION IS GIVEN , MORE INFORMATION PLEASE VISIT YOUR TAHSIL AGRICULTURE OFFICER"
5041,ATTACK OF LEAF EATING CATERPILLAR ?,Spray Missile 7 gm/15 liter water (Emamectin Benzoate 5% SG)- Crystal Crop Protection
5042,COTTON RATE,cotton rate 4800 to 5600 rs /Q
5044,ASKED ABOUT MARKET RATE OF COTTON ?,"MARKET RATE OF COTTON -	5500,	5500,	5500 RS/QUINTAL"
5046,FERTILIZER DOSE FOR WHEAT ?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
5047,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF 4800 to 5600  - RS/QTL
5049,asked about water management for tur ?,"water management for tur - before flowering , sprinkler irrigation is suitable"
5050,ASKING ABOUT REDDNING OF COTTON ?,Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)
5051,FOR CATERPILLAR ATTACK IN TUR ?,"SPRAY NEEM ARK 1 MILI 10,000 PPM"
5052,ASKED ABOUT MARKET RATE OF  SOYABEAN ?,MARKET RATE OF SOYABEAN  = 2800-3260 RS/QTL
5055,FOR FLOWERING,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20%)DEVI CROP SCIENCE
5058,FERTLIZER SPRAY FOR GROWTH?,SPRAY 19 19 19 60 GM + MICROLLA 30 ML +HUMIC ACID 30 GRAM /200 LITERS OF WATER
5069,asked about spray for flowering on redgram?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE
5070,ASKING ABOUT ATTACK OF LEAF EATING CATTORPILOR ON PIGEON PEA?,Spray Chloropyriphos 30 ml/15 Lit of Water.
5074,Attack of White Fly ?,SPRAY BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
5075,FARMER ASKED ABOUT MARKET RATE OF SOYABEAN ?,MARKET RATE OF SOYABEAN 3000 RS/QTL
5076,ATTACK OF LEAF EATING CATERPILLAR ?,Spray of Chloropyriphos 30 ml/15 Lit of Water.
5079,Asking about weather forecast ?,
5081,Asking about weather forecast Tahsil ?,
5085,FARMER ASKED ABOUT MARKET RATE OF COTTON   ?,JALNA BADNAPUR MARKET RATE OF 8000 -8100 RS  /QTL
5086,asked about caterpillar attack on neem ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
5087,Asking about weather forecast?,This week weather is cloudy and no possibility of rainfall
5089,ASKED ABOUT MARKET RATE OF COTTON ?,MARKET RATE OF COTTON = MAREGAON    5450 - 5625 RS/QTL
5091,Asking about weather forecast?,WEATHER IS MOSTLY CLEAR AND NO RAINFALL CHANCES DURING THIS WEEK.
5098,FOR FLOWERING on tur?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE
5100,FARMER ASKED ABOUT CONTROL OF  ATTACK OF LEAF EATING CATERPILLAR ON TUR   ?,FOR CONTROL OF ATTACK OF LEAF EATING CATERPILLAR ON TUR :- Spray Chloropyriphos 30 ml/15 Lit of Water.
5101,ASKED ABOUT MARKET RATE OF COTTON   ?,MARKET RATE OF COTTON = MAHUR	5400 - 5600 RS/QTL..
5113,ASKED ABOUT MARKET RATE OF COTTON ?,"MARKET RATE OF COTTON - 5500,	5500,	5500 RS/QUINTAL"
5119,ASKED ABOUT MARKET RATE OF cotton  ?,MARKET RATE OF cotton -5500 RS/QUINTAL
5120,ASKED ABOUT MARKET RATE OF COTTON  ?,MARKET RATE OF COTTON = VADVANI	5700 - 6030  RS/QUINTAL
5122,ASKED ABOUT MARKET RATE WEBSITE ?,WWW.MSAMB.COM
5125,ASKED ABOUT MARKET RATE OF  COTTON ?,MARKET RATE OF COTTON = MAHUR	5400 - 5600 RS/QUINTAL....
5126,ASKING ABOUT MARKET  RATE OF cotton ?,MARKET RATE OF cotton -  5500  RS/QUINTAL
5128,Asking about weather forecast?,"Weather Forecast - In the coming week, the atmosphere will remain partially cloudy, maximum temperature is 37 degrees Celsius. The minimum temperature is 22 degrees Celsius."
5131,Asking about weather forecast ?,"Weather Forecast - In the coming week, the atmosphere will remain partially cloudy, maximum temperature is 33 degrees Celsius. The minimum temperature is 21 degrees Celsius."
5135,FARMER ASKED ABOUT MARKET RATE OF COTTON?,MARKET RATE OF COTTON  5500  RS/QTL
5144,farmer asked about control measure for  white grub?,control measure for  white grub:- hamala 600 ml/acre
5145,Asking about weather forecast?,This week partially weather is CLOUDY and Possibility of LIGHT to MEDIUM Rainfall .
5155,"Contact no.of Mahatma Phule Krishi Vidyapeeth-rahuri,Ahmednagar?","Mahatma Phule Krishi Vidyapeeth-rahuri,Ahmednagar - 02426 243373"
5158,Asking about weather forecast ?,"Weather report -Cloudy Weather , possibility of light Rainfall ."
5159,FARMER ASKED ABOUT MARKET RATE OF PUMPKIN ?,"MARKET RATE OF PUMPKIN -800,	1400,	1000 RS/QTL"
5162,Attack of Caterpillar  on bhindi ?,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta
5163,ASKED ABOUT BITTER GOURD PLKANTATION ?,"For more information on cultivation, all India Vegetable Reform Project, Mahatma Phule Agricultural University, Rahuri (02426- 243342) or Agriculture Technology Information Center, Dr. Contact us at Panjabrao Deshmukh Agricultural University, Akola (Toll Free No. 18002330724)."
5164,STEM BORER ATTACK ON MANGO ?,STEM BORER ATTACK ON MANGO  = APPLICATION OF NUWAN
5172,VARIETIES OF CUCUMBER ?,VARIETIES OF CUCUMBER -HIMANGI PHULE SHUBHANGI POONA KHIRA SHEETAL PRIYA JK- MANALI
5174,ASKED ABOUT Attack of Thrips ON COTTON?,"SPRAY JUMP(FIPRONIL 80%) 3 GM / 15 LITRE OF WATER, BAYER CROP SCIENCE"
5176,Asking About Market Rate ?,Market Rate of 800-1400  rupees/qtl
5178,Attack of White Fly ?,Spray Tata manik 7 gm/15 liter of water(Acetamapride20SP)-Tata Rallis.
5181,ASKING ABOUT WEATHER FORECAST ?,Cloudy Weather  Rainfall Chances Today.
5186,"Powdery or Downy or Blight(????,????)",Spray Amistar 5 ml/15 Liter of Water(Azactrostrobin)-Syngenta
5188,fertilizer spray on onion?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
5189,Asked about Fertilizer doses on onian?,Fertilizer doses on onian-Apply of 10:26:26 50kg/acre.
5192,asking about FERTILIZER SPRAY ON red gram ?,FERTILIZER SPRAY ON red gram - SPRAY 12 61 00 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
5196,ASKING ABOUT  DRENCHING ON FENUGREEK?,DRENCHING ON FENUGREEK-DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER.
5197,ASKING ABOUT Attack of White Grub ON ONION ?,Attack of White Grub ON ONION - Drenching of Chloropyriphos 40 ml / 15 lit of water.
5199,"Asking about weather forecast of Sangamner,Ahmednagar ?","Sangamner, Ahmednagar - This week weather is cloudy and possibility of light Rainfall."
5203,asking about VARIETIES OF CHILLI ?,"VARIETIES OF CHILLI -PUSA JWALA ,SANKESHWARI-32 ,TEJSWINI, SITARA, PHULE JYOTI, PANT C, AGNIREKHA."
5204,Asking About ahmadnagar  Market Rate of soyabin ?,Market Rate - AHMEDNAGAR QUINTAL 675 -2850	average	2950  rupees/qt.
5206,Attack of Fruit Borer on brinjal ?,Spray Coragen 5ml/15 Lit of Water.( chlorantraniliprole 18.5% SC) Dupont India
5208,ASKED ABOUT APMC PANAN CONTACT NUMBER ?,"APMC PANAN CONTACT NUMBER= 
Directorate of Marketing, Maharashtra State Pune
3rd floor, new intermediate building,
Ambedkar Wellsley Road,
Pune Maharashtra- 411 001.
Telephone number 020-26126628, 26126785
email-dirmktms @ gmai"
5214,FARMER ASKED ABOUT MARKET RATE OF BAJRA ?,"MARKET RATE OF BAJRA -1311,	1311,	1311 RS/QTL"
5217,Asking about weather forecast in Shrigonda (Ahmednagar) ?,"weather forecast in Shrigonda (Ahmednagar This week weather is cloudy and light possibility of rainfall, Today's temperature - 22-32 degree celsius,wind speed -21 kilometer/hr ."
5221,ASKED ABOUT MARKET RATE OF POMOGRANATE ?,RAHATA	Bhagwa	QUINTAL	2635	250	15000	6000
5225,Asked about Attack of Thrips on onion ?,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
5229,ASKING ABOUT ATTACK OF SUCKING PEST ?,Spray Actra 5 gm+ M 45 30 GM/15 Liter of Water(Thiomithoxom 25%)-Syngenta
5234,WEED MANAGEMENT IN jowar  ?,"SPRAY 2, 4- D 40 GM 20-25 DAYS AFTER SOWING /15 LITERS OF WATEER"
5236,ATTACK OF LEAF EATING CATERPILLAR ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
5237,ATTACK OF SUCKING PEST ON POMOGRANATE ?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
5238,ASKING ABOUT FLOWER DROP OF COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
5242,ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF GUAVA FRUIT?,00:52:34- 60 GRAM + MICROLA- 30 MILI / 15 LITER WATER
5243,Asked about Attack of Stem Borer on sugarcane?,Attack of Stem Borer on sugarcane-SPRAY of NUVAN 20 ML/ 15 LITERS OF WATER
5244,ASKED ABOUT GROWTH OF POMEGRANATE FRUITS?,GROWTH OF POMEGRANATE FRUITS -00:52:34   3 kg  /ACRE
5251,Asking About Market Rate ONION ?,Market Rate of OBNION FOR SANGAMNER MARKET   300- 1081	rupees/qtl
5255,Asked about animal husbandry department ?,animal husbandry department contact to dr. Jagdish Gudevar 9730066847
5259,ASKED ABOUT DROPPING OF FLOWER IN COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
5260,asking about ATTACK OF POD BORER on brinjal ?,ATTACK OF POD BORER on brinjal - Spray Missile 7 gm/15 liter water (Emamectin Benzoate 5% SG)- Crystal Crop Protection
5261,ATTACK OF APHIDS on onion ?,Spray Actra 5 gm + Bavistine 30gm /15 Liter of Water (Thiomithoxom 25%)-Syngenta
5262,asking about ATTACK OF APHIDS in onion ?,ATTACK OF APHIDS in onion - Spray Actra 5 gm + Bavistine 30gm /15 liter of water.
5263,ASKED ABOUT FERTILIZER SPRAY FOR GROWTH ON ONION ?,SPRAY 19 19 19  60 GM/15 litre water
5265,farmer asked about contact number ?,"Mahatma Phule Krishi Vidyapeeth-rahuri, Ahmednagar
(02426)243208, 243311,243215"
5275,Asked About Attack of White Grub in onion  ?,Attack of White Grub in onion =Humnasur 4 kg/acre(Patil Biotech)
5278,Flower Drop in cotton ?,Spray Plano fix 3 ml/15 Lit of Water.(NAA) BAYER
5280,asked about varieties of gram?,"variety- vijay , vishal,digvijay"
5282,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT ?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 3268
5283,"Farmer Asking about weather forecast in Nevasa, Ahmednagar  ?","Weather forecast in Nevasa, Ahmednagar This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.Today,s temperature - 22 - 34  degree celsius, wind speed -13 Kilometer/hr"
5285,FERTILIZER SPRAY ON ONION ?,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
5291,Asked about Flower drop on tur?,Flower drop on tur-Spray of Plano fix 4ml/15 Lit of Water.
5292,United India Insurance Customer Care,United India Insurance Customer Care 1800 425 33333. Toll free Number(s):
5293,ASKING ABOUT FRUIT DROP OF COCONUT  ?,DRENCHING OF  CALSIBOR 40 GM +00 52 34 60 GM/15 LITERS OF WATER
5295,"Farmer Asking about weather forecast in  Kopargaon, Ahmednagar ?","Weather forecast in  Kopargaon, Ahmednagar This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.Today,s temperature - 22 - 34  degree celsius, wind speed -13 Kilometer/hr"
5297,FARMER ASKED ABOUT MARKET RATE of PUMPKIN?,MARKETE RATE OF PUMPKIN-800-1200 RS/QTL
5298,Attack of Caterpillar ?,Spray fame 5ml/15 Liter of Water (Flubendiamide 480SC)
5299,Attack of Jassids/Leaf hoppers ?,SPRAY BIO 303 - 15 ML / 15 LITERS OF WATER DAMAN
5302,ASKING ABOUT Flower Drop OF SPONGE GOURD?,APPLICATION OF BORON HALF KG + CALCIUM NITRATE HALF KG + 00 52 34 3 KG THROUGH DRIP
5306,ASKED ABOUT ATTACK OF WHITE GRUB ?,FOR CONTROL ATTACK OF WHITE GRUB Use Thimate 4 kg / acre.
5308,Asking About Market Rate ?,Market Rate of maize  1351-1428	 rupees/qtl
5315,ASKED ABOUT ATTACK OF WHITE GRUB ?,HUMNASUR 7 KG /ACRE
5316,ASKING ABOUT ATTACK OF PINK BOLLWORM ON COTTON ?,ATTACK OF PINK BOLLWORM ON COTTON - Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
5318,Attack of White Fly ON COTTON ?,Attack of White Fly ON COTTON - Spray Ullala 8 gm/15 Lit of Water (flonicamid)-UPL
5320,ASKING ABOUT DETAIL INFORMATION ABOUT MPKV RAHURI UNIVERCITY ?,"Mahatma Phule Krishi Vidyapeeth-rahuri,Ahmednagar - 02426 243373"
5321,ASKING ABOUT ATTACK OF SUCKING PEST ON CHILLIES  ?,ATTACK OF SUCKING PEST ON CHILLIES - SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE
5327,ASKED ABOUT FERTILIZER SPRAY FOR ONION ?,FERTILIZER SPRAY FOR ONION- SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
5328,ASKED ABOUT FLOWER DROP IN COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
5329,FARMER ASKED ABOUT BLIGHT ATTACK ON ONION  ?,FOR CONTROL OF BLIGHT ATTACK ON ONION  :- Spray Blue copper-30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)
5331,WEED MANAGEMENT IN ONION ?,WEED MANAGEMENT IN ONION-SPRAY GOAL 20 ML / 15 LITERS OF WATER 21 DAYS AFTER TRANSPLANTING
5333,United India Insurance Customer Care,United India Insurance Customer Care 1800 425 33333 | India
5337,ASKED ABOUT FERTILIZER APPLICATION FOR SUGARCANE ?,FERTILIZER APPLICATION FOR SUGARCANE APPLY 00:52:34 - 5 KILO + MICROLLA - 500 ML / ACRE THROUGH DRIP
5346,"Asking about weather forecast in  Pathardi, Ahmednagar  ?","Weather forecast in  Pathardi, Ahmednagar  This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.Today's temperature - 22 -35 degree celsius,wind speed - 9 kilometer/hr."
5349,"Asking about weather forecast in Sangamner, Ahmednagar   ?","Weather forecast in Sangamner, Ahmednagar  This week partially weather is CLOUDY and Possibility of LIGHT Rainfall.Today's temperature - 22 -34  degree celsius,wind speed -  8  kilometer/hr."
5354,asked about varieties of onion ?,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED
5360,FARMER ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF -300-1200/- RS/QTL
5365,Attack of White Grub ?,Attack of White Grub -Use Fertera10 kg /acre
5367,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-21 DEGREE AND MAX.- 34 NO  RAINFALL CHANCES .
5379,Asking about weather forecast ?,"Weather Report - This week weather will remain partly cloudy, there will be possibility of rain in some places. 
 ."
5380,asked about attack of sucking pest and blight on onion ?,attack of sucking pest and blight on onion - spray rijent 30 ml + saaf 30 gm / 15 liter water
5381,asked about controll of caterpillar in cotton ?,Spray Profex super 30 ml/15 liter water.( Profenofos 40% + Cypermethrin4% )Nagarjuna
5383,asked about gad fly attack on bovine?,"Karanj Kadunim oil has insecticide properties in Karanj. This oil is used for planting animals. Due to this, external parasites will die."
5385,ASKED ABOUT ATTACK OF BLIGHT ON ONION ?,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER.
5398,ASKING ABOUT PRADHANMANTRI PIK VIMA YOJNA?,LAST DATE FOR PRADHANMANTRI PIK VIMA YOJNA- 5-08-2017 FOR MORE DETAILS ABOUT SCHEME PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER
5400,ASKING ABOUT SPRAY FOR CONTROLLING FLOWER DROP ?,Spray Plano fix 3 ml/15 Lit of Water.(NAA)
5402,ASKING ABOUT CONTROLL OF WILT ATTACK  ?,drenchingof  Chloropyriphos 30 ml + saff 30 gm/15 Lit of Water.
5404,Asking about weather forecast?,This week weather is CLOUDY and Possibility of Rainfall.
5405,asked about onion cultivation ?,"Take 20 kg of nitrogen, 20 kg of phosphorus and 20 kg of potash on onion crop. After this, give 20 kg of Nitrogen per acre in 1 month. It is important to give regular water to the onion crop. During the Kharif season, after the interval of 10 to 12 days, during the summer rabi season, after 6 to 8 days, give irrigation water to the land."
5407,Asking about weather forecast?,This week weather is cloudy and light  possibility of light Rainfall .
5408,ASKED ABOUT VARIETIES OF DRUM STICK ?,"VARIETIES OF DRUM STICK - MORINGA, ODISI, PKM-1, PKM-2, CO-1, SIDHIVINAYAK SHEVGA, KONKAN RUCHIRA"
5410,FERTILIZER SPRAY FOR GROWTH?,00:52:34 60 GM + MICROLA 30 ML /15 LITER WATER
5411,Asking aboutweather forecast?,This week weather is cloudy and light  possibility of light Rainfall  on 9th oct.
5414,Asking about weather forecast?,"This week weather is cloudy, possiblity of light to medium rainfall."
5416,"ASKED ABOUT ATTACK OF SUCKING PEST ON COTTON? 
ASKING ABOUT SPRAY FOR FLOWERING ?","Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE"
5420,asked about mushroom ?,MUSHROOM PROJECT AGRICULTURE COLLEGE PUNE -020 25537033 /038
5424,Asked about fertilizer spray on onion?,Fertilizer spray on onion-Spray of 19:19:19 60gm + microlla 302ml/15 liter water.
5425,asked about beekeeping toll free number ?,"beekeeping mahabaleshwar, dist- satara toll free number-?????-??????"
5429,ASKED ABOUT ATTACK OF BLIGHT ON TURMERIC?,SPRAY BLUE COPPER 30 GM + KASUGAMYCIN 25 ML/ 15 WATER.
5433,Asked about GOVT SCHEME ?,visit to Taluka.krushi.adikari.. FOR MORE INFORMATION.
5437,FLOWER DROP in pomogranate ?,SPRAY Boomflower 25 -30 ml in 15 LITER WATER
5438,ASKED ABOUT VARIETIES OF BRINJAL ?,"VARIETIES OF BRINJAL ?

VARIETIES OF BRINJAL -MANJARI GOTA VAISHALI PRAGATI ARUNA KRUSHNA ARJUN GAURAV"
5439,FERTILIZER SPRAY FOR GROWTH for onion ?,FERTILIZER SPRAY FOR GROWTH for onion - SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER. 10 : 26 : 26 1 BAG/ ACRE
5440,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-21 DEGREE AND MAX.- 35 LIGHT  RAINFALL CHANCES .
5441,ATTACK OF APHIDS ?,Spray of bio-303 15 ml/15 liter water.
5453,Attack of  Downy or blight  or Powdery on onion ?,Attack of  Downy or blight  or Powdery on onion - Spray Antracol  25 gm/15 Liter of Water(Propineb)-Bayer
5457,asked about varieties of onion ?,"onion vrieties - pusa red , arka pragati , arka niketan , light red"
5458,asking about ATTACK OF LEAF MINER on gram ?,ATTACK OF LEAF MINER on gram - Spray Neem ark 30 ml/15 liter water.
5466,asking about ATTACK OF APHIDS on onion ?,ATTACK OF APHIDS on onion - SPRAY PRIDE 7 GM / 15 LITERS OF WATER (Acetamiprid 20 %)
5467,Attack of Jassids/Leaf hoppers  ON ONION?,"SPRAY KARATE 20 ML 














SPRAY KARATE 20 ML /15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA"
5468,Attack of Thrips ON COTTON ?,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta
5469,Asked About SMS Activation?,TO START SMS SERVICE PLEASE TYPE SMS Kisaan1 AND SEND IT TO 7738299899
5471,asked about VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349
5475,Attack of Thrips?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
5483,ATTACK OF APHIDS onion ?,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
5484,asked about thrips attack on fenugreek ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
5486,farmer asked about fertilizer spray for cotton?,fertilizer spray for cotton:- 13: 40: 13  65 gram/ 15 liter water
5487,ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF -800  RS/QUINTAL
5491,ASKED ABOUT MARKET RATE OF POMEGRANATE  ?,MARKET RATE OF POMEGRANATE - 2000-15000 RS/QUINTAL
5492,ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF - 351 -1001 RS/QUINTAL
